room_type,region,longitude,latitude,price,log_reviews,booking_activity
Entire home/apt,Central,100.56428,13.73641,1736.5,1.9459101490553132,160.0
Entire home/apt,Northeast,100.57648,13.77588,1080.0,1.0986122886681098,94.0
Entire home/apt,Northwest,100.51374999999999,13.78275,1091.5,1.2424533248940002,63.0
Entire home/apt,Southeast,100.608985,13.694395,977.0,1.3862943611198906,75.0
Entire home/apt,Southwest,100.51912,13.71779,1344.0,1.6094379124341003,67.0
Hotel room,Central,100.55769000000001,13.736815,1863.5,0.8958797346140275,8.5
Hotel room,Northeast,100.576595,13.8056,1264.5,0.6931471805599453,13.5
Hotel room,Northwest,100.50005,13.7601167,1290.0,1.3862943611198906,6.0
Hotel room,Southeast,100.64791,13.71943,1200.0,0.6931471805599453,12.0
Hotel room,Southwest,100.52002999999999,13.720855,1596.0,0.0,8.5
Private room,Central,100.56366,13.73499,1500.0,0.6931471805599453,22.0
Private room,Northeast,100.58073,13.796610000000001,900.0,0.0,32.0
Private room,Northwest,100.50296,13.76494,1214.0,1.0986122886681098,24.0
Private room,Southeast,100.61856,13.69953,929.0,0.0,28.0
Private room,Southwest,100.51703211143925,13.720814685513435,1200.0,0.6931471805599453,12.5
Shared room,Central,100.5444,13.74433,519.0,0.6931471805599453,7.0
Shared room,Northeast,100.57130000000001,13.78543,550.0,0.0,12.0
Shared room,Northwest,100.498965,13.759509999999999,550.0,0.0,185.0
Shared room,Southeast,100.63969,13.71309,390.0,0.0,1.0
Shared room,Southwest,100.52091,13.72333,776.0,0.6931471805599453,7.0
