,room_type,region,price,count,log_reviews,booking_activity,longitude,latitude
0,Entire home/apt,Central,1736.5,3810,1.9459101490553132,160.0,100.56355500000001,13.73651
1,Entire home/apt,Northeast,1080.0,1865,1.0986122886681098,94.0,100.57749,13.78211
2,Entire home/apt,Northwest,1091.5,828,1.2424533248940002,63.0,100.504555,13.772175
3,Entire home/apt,Southeast,977.0,970,1.3862943611198906,75.0,100.61159,13.69714
4,Entire home/apt,Southwest,1344.0,1873,1.6094379124341003,67.0,100.519045,13.71937
5,Hotel room,Central,1863.5,328,0.8958797346140275,8.5,100.56355500000001,13.73651
6,Hotel room,Northeast,1264.5,102,0.6931471805599453,13.5,100.57749,13.78211
7,Hotel room,Northwest,1290.0,121,1.3862943611198906,6.0,100.504555,13.772175
8,Hotel room,Southeast,1200.0,51,0.6931471805599453,12.0,100.61159,13.69714
9,Hotel room,Southwest,1596.0,156,0.0,8.5,100.519045,13.71937
10,Private room,Central,1500.0,983,0.6931471805599453,22.0,100.56355500000001,13.73651
11,Private room,Northeast,900.0,888,0.0,32.0,100.57749,13.78211
12,Private room,Northwest,1214.0,573,1.0986122886681098,24.0,100.504555,13.772175
13,Private room,Southeast,929.0,457,0.0,28.0,100.61159,13.69714
14,Private room,Southwest,1200.0,740,0.6931471805599453,12.5,100.519045,13.71937
15,Shared room,Central,519.0,177,0.6931471805599453,7.0,100.56355500000001,13.73651
16,Shared room,Northeast,550.0,72,0.0,12.0,100.57749,13.78211
17,Shared room,Northwest,550.0,216,0.0,185.0,100.504555,13.772175
18,Shared room,Southeast,390.0,41,0.0,1.0,100.61159,13.69714
19,Shared room,Southwest,776.0,133,0.6931471805599453,7.0,100.519045,13.71937
